STRING,syllable1a_p,syllable1a_g,syllable1a_pg,syllable1b_p,syllable1b_g,syllable1b_pg,syllable1c_p,syllable1c_g,syllable1c_pg,syllable1d_p,syllable1d_g,syllable1d_pg,syllable1e_p,syllable1e_g,syllable1e_pg,syllable1f_p,syllable1f_g,syllable1f_pg,syllable2a_p,syllable2a_g,syllable2a_pg,syllable2b_p,syllable2b_g,syllable2b_pg,syllable2c_p,syllable2c_g,syllable2c_pg,syllable2d_p,syllable2d_g,syllable2d_pg,syllable2e_p,syllable2e_g,syllable2e_pg,syllable2f_p,syllable2f_g,syllable2f_pg,syllable3a_p,syllable3a_g,syllable3a_pg,syllable3b_p,syllable3b_g,syllable3b_pg,syllable3c_p,syllable3c_g,syllable3c_pg,syllable3d_p,syllable3d_g,syllable3d_pg,syllable3e_p,syllable3e_g,syllable3e_pg,syllable3f_p,syllable3f_g,syllable3f_pg,syllable4a_p,syllable4a_g,syllable4a_pg,syllable4b_p,syllable4b_g,syllable4b_pg,syllable4c_p,syllable4c_g,syllable4c_pg,syllable4d_p,syllable4d_g,syllable4d_pg,syllable4e_p,syllable4e_g,syllable4e_pg,syllable4f_p,syllable4f_g,syllable4f_pg,syllable5a_p,syllable5a_g,syllable5a_pg,syllable5b_p,syllable5b_g,syllable5b_pg,syllable5c_p,syllable5c_g,syllable5c_pg,syllable5d_p,syllable5d_g,syllable5d_pg,syllable5e_p,syllable5e_g,syllable5e_pg,syllable5f_p,syllable5f_g,syllable5f_pg,syllable6a_p,syllable6a_g,syllable6a_pg,syllable6b_p,syllable6b_g,syllable6b_pg,syllable6c_p,syllable6c_g,syllable6c_pg,syllable6d_p,syllable6d_g,syllable6d_pg,syllable6e_p,syllable6e_g,syllable6e_pg,syllable6f_p,syllable6f_g,syllable6f_pg
able,eɪ,a,eɪ+a,,,,,,,,,,,,,,,,b,b,b+b,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aboard,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɔ,oa,ɔ+oa,r,r,r+r,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abominable,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɑ,o,ɑ+o,,,,,,,,,,,,,m,m,m+m,ə,i,ə+i,,,,,,,,,,,,,n,n,n+n,ə,a,ə+a,,,,,,,,,,,,,b,b,b+b,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,
abort,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɔ,o,ɔ+o,r,r,r+r,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abortion,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɔ,o,ɔ+o,r,r,r+r,,,,,,,,,,ʃ,ti,ʃ+ti,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
about,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,aʊ,ou,aʊ+ou,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
above,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ʌ,o,ʌ+o_e,v,v,v+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abracadabra,æ,a,æ+a,,,,,,,,,,,,,,,,b,b,b+b,r,r,r+r,ə,a,ə+a,,,,,,,,,,k,c,k+c,ə,a,ə+a,,,,,,,,,,,,,d,d,d+d,æ,a,æ+a,,,,,,,,,,,,,b,b,b+b,r,r,r+r,ə,a,ə+a,,,,,,,,,,,,,,,,,,,,,,,,,,,
abraham,eɪ,a,eɪ+a,,,,,,,,,,,,,,,,b,b,b+b,r,r,r+r,ə,a,ə+a,,,,,,,,,,h,h,h+h,æ,a,æ+a,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,r,r,r+r,ɔ,oa,ɔ+oa,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absence,æ,a,æ+a,b,b,b+b,,,,,,,,,,,,,s,s,s+s,ə,e,ə+e_e,n,n,n+n,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absent,æ,a,æ+a,b,b,b+b,,,,,,,,,,,,,s,s,s+s,ə,e,ə+e,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolute,æ,a,æ+a,b,b,b+b,,,,,,,,,,,,,s,s,s+s,ə,o,ə+o,,,,,,,,,,,,,l,l,l+l,u,u,u+u_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absolutely,æ,a,æ+a,b,b,b+b,,,,,,,,,,,,,s,s,s+s,ə,o,ə+o,,,,,,,,,,,,,l,l,l+l,u,u,u+u_e,t,t,t+t,,,,,,,,,,l,l,l+l,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abstain,ə,a,ə+a,b,b,b+b,,,,,,,,,,,,,s,s,s+s,t,t,t+t,eɪ,ai,eɪ+ai,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absurd,ə,a,ə+a,b,b,b+b,,,,,,,,,,,,,s,s,s+s,ɚ,u,ɚ+u,r,r,r+r,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abuse,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ju,u,ju+u_e,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abuse,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ju,u,ju+u_e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abyss,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɪ,y,ɪ+y,s,ss,s+ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic,æ,a,æ+a,,,,,,,,,,,,,,,,k,c,k+c,ə,a,ə+a,,,,,,,,,,,,,d,d,d+d,ɛ,e,ɛ+e,,,,,,,,,,,,,m,m,m+m,ɪ,i,ɪ+i,k,c,k+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
