STRING,syllable1a_p,syllable1a_g,syllable1a_pg,syllable1b_p,syllable1b_g,syllable1b_pg,syllable1c_p,syllable1c_g,syllable1c_pg,syllable1d_p,syllable1d_g,syllable1d_pg,syllable1e_p,syllable1e_g,syllable1e_pg,syllable1f_p,syllable1f_g,syllable1f_pg,syllable2a_p,syllable2a_g,syllable2a_pg,syllable2b_p,syllable2b_g,syllable2b_pg,syllable2c_p,syllable2c_g,syllable2c_pg,syllable2d_p,syllable2d_g,syllable2d_pg,syllable2e_p,syllable2e_g,syllable2e_pg,syllable2f_p,syllable2f_g,syllable2f_pg,syllable3a_p,syllable3a_g,syllable3a_pg,syllable3b_p,syllable3b_g,syllable3b_pg,syllable3c_p,syllable3c_g,syllable3c_pg,syllable3d_p,syllable3d_g,syllable3d_pg,syllable3e_p,syllable3e_g,syllable3e_pg,syllable3f_p,syllable3f_g,syllable3f_pg,syllable4a_p,syllable4a_g,syllable4a_pg,syllable4b_p,syllable4b_g,syllable4b_pg,syllable4c_p,syllable4c_g,syllable4c_pg,syllable4d_p,syllable4d_g,syllable4d_pg,syllable4e_p,syllable4e_g,syllable4e_pg,syllable4f_p,syllable4f_g,syllable4f_pg,syllable5a_p,syllable5a_g,syllable5a_pg,syllable5b_p,syllable5b_g,syllable5b_pg,syllable5c_p,syllable5c_g,syllable5c_pg,syllable5d_p,syllable5d_g,syllable5d_pg,syllable5e_p,syllable5e_g,syllable5e_pg,syllable5f_p,syllable5f_g,syllable5f_pg,syllable6a_p,syllable6a_g,syllable6a_pg,syllable6b_p,syllable6b_g,syllable6b_pg,syllable6c_p,syllable6c_g,syllable6c_pg,syllable6d_p,syllable6d_g,syllable6d_pg,syllable6e_p,syllable6e_g,syllable6e_pg,syllable6f_p,syllable6f_g,syllable6f_pg
academy,ə,a,ə+a,,,,,,,,,,,,,,,,k,c,k+c,æ,a,æ+a,,,,,,,,,,,,,d,d,d+d,ə,e,ə+e,,,,,,,,,,,,,m,m,m+m,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accelerando,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,,,,,,,,,,,,,l,l,l+l,ə,e,ə+e,,,,,,,,,,,,,r,r,r+r,æ,a,æ+a,n,n,n+n,,,,,,,,,,d,d,d+d,oʊ,o,oʊ+o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accelerate,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,,,,,,,,,,,,,l,l,l+l,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,eɪ,a,eɪ+a_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accent,ə,a,ə+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accept,ə,a,ə+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,p,p,p+p,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accept,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,p,p,p+p,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acceptable,ə,a,ə+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,p,p,p+p,,,,,,,,,,t,t,t+t,ə,a,ə+a,,,,,,,,,,,,,b,b,b+b,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accepted,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,p,p,p+p,,,,,,,,,,t,t,t+t,ɪ,e,ɪ+e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ɛ,e,ɛ+e,s,ss,s+ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accident,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ə,i,ə+i,,,,,,,,,,,,,d,d,d+d,ə,e,ə+e,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accidental,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ə,i,ə+i,,,,,,,,,,,,,d,d,d+d,ɛ,e,ɛ+e,n,n,n+n,,,,,,,,,,t,t,t+t,ə,a,ə+a,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accidentally,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ə,i,ə+i,,,,,,,,,,,,,d,d,d+d,ɛ,e,ɛ+e,n,n,n+n,,,,,,,,,,t,t,t+t,ə,a,ə+a,,,,,,,,,,,,,l,ll,l+ll,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accidents,æ,a,æ+a,k,c,k+c,,,,,,,,,,,,,s,c,s+c,ə,i,ə+i,,,,,,,,,,,,,d,d,d+d,ə,e,ə+e,n,n,n+n,t,t,t+t,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accolade,æ,a,æ+a,,,,,,,,,,,,,,,,k,cc,k+cc,ə,o,ə+o,,,,,,,,,,,,,l,l,l+l,eɪ,a,eɪ+a_e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accommodate,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ɑ,o,ɑ+o,,,,,,,,,,,,,m,mm,m+mm,ə,o,ə+o,,,,,,,,,,,,,d,d,d+d,eɪ,a,eɪ+a_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accompany,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ʌ,o,ʌ+o,m,m,m+m,,,,,,,,,,p,p,p+p,ə,a,ə+a,,,,,,,,,,,,,n,n,n+n,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accomplice,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ɑ,o,ɑ+o,m,m,m+m,,,,,,,,,,p,p,p+p,l,l,l+l,ə,i,ə+i_e,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accomplish,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ɑ,o,ɑ+o,m,m,m+m,,,,,,,,,,p,p,p+p,l,l,l+l,ɪ,i,ɪ+i,ʃ,sh,ʃ+sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accomplished,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ɑ,o,ɑ+o,m,m,m+m,,,,,,,,,,p,p,p+p,l,l,l+l,ɪ,i,ɪ+i,ʃ,sh,ʃ+sh,t,ed,t+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
according,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ɔ,o,ɔ+o,r,r,r+r,,,,,,,,,,d,d,d+d,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accordion,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ɔ,o,ɔ+o,r,r,r+r,,,,,,,,,,d,d,d+d,i,i,i+i,,,,,,,,,,,,,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,aʊ,ou,aʊ+ou,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountant,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,aʊ,ou,aʊ+ou,n,n,n+n,,,,,,,,,,t,t,t+t,ə,a,ə+a,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accounts,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,aʊ,ou,aʊ+ou,n,n,n+n,t,t,t+t,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accurate,æ,a,æ+a,,,,,,,,,,,,,,,,k,cc,k+cc,jɚ,u,jɚ+u,r,r,r+r,,,,,,,,,,ə,a,ə+a_e,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuse,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ju,u,ju+u_e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accused,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ju,u,ju+u,z,s,z+s,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusing,ə,a,ə+a,,,,,,,,,,,,,,,,k,cc,k+cc,ju,u,ju+u,,,,,,,,,,,,,z,s,z+s,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ace,eɪ,a,eɪ+a_e,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ache,eɪ,a,eɪ+a_e,k,ch,k+ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achieve,ə,a,ə+a,,,,,,,,,,,,,,,,tʃ,ch,tʃ+ch,i,ie,i+ie_e,v,v,v+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acid,æ,a,æ+a,,,,,,,,,,,,,,,,s,c,s+c,ə,i,ə+i,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
